Metric,Value
compression_ratio,1.1578947368421053
average,1.11053
median,1.0
std_dev,0.32857
mode,1.0
max,3.0
alpha,7
vertex_count,20
edge_probability,0.25
graph_type,unweighted
graph_seed,612519
