Metric,Value
compression_ratio,1.27129750982962
average,1.11644
median,1.0
std_dev,0.29405
mode,1.0
max,5.0
alpha,35
vertex_count,200
edge_probability,0.05
graph_type,unweighted
graph_seed,880278
